"","id","host_id","host_name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365"
"1051","8149816","43028367","Christine","Friedrichshain-Kreuzberg","Frankfurter Allee Nord","5.251.857.502.272.750","1.346.180.181.870.730","Private room",36,1,192,"17/04/17",0.3,3,30
"1052","4217616","21889439","Cihan","Friedrichshain-Kreuzberg","Frankfurter Allee Nord","5.251.834.348.273.770","13.464.761.505.707.500","Private room",25,2,2,"",NA,1,0
"1053","16669441","32278467","Mea","Friedrichshain-Kreuzberg","Frankfurter Allee Nord","5.252.739.616.771.150","1.345.237.944.429.270","Private room",29,2,2,"",NA,2,0
"1054","5330513","10188428","Valentina","Friedrichshain-Kreuzberg","Frankfurter Allee Nord","52.519.949.215.313.400","13.461.594.946.164.700","Entire home/apt",80,2,100,"02/05/17",0.72,1,48
"1055","15160841","3201204","Fabian","Friedrichshain-Kreuzberg","Frankfurter Allee Nord","5.251.445.962.717.800","13.466.761.244.375.800","Private room",25,10,181,"05/03/17",0.55,1,5
"1056","15095200","87703399","Johanna Cassiopea","Friedrichshain-Kreuzberg","Frankfurter Allee Nord","5.252.151.461.076.390","13.455.263.010.839.900","Private room",37,1,203,"31/03/17",0.77,1,259
"1057","17191346","115725271","Una","Friedrichshain-Kreuzberg","Frankfurter Allee Nord","52.516.011.976.938.200","13.456.292.361.883.300","Private room",45,1,2,"",NA,1,84
"1058","3297700","1233291","Justin","Friedrichshain-Kreuzberg","Frankfurter Allee Nord","52.522.257.494.597.200","13.454.144.191.063.000","Entire home/apt",25,14,108,"26/09/14",0.06,1,50
"1059","3428739","12994351","Vivian & Alan","Friedrichshain-Kreuzberg","Frankfurter Allee Nord","5.252.008.361.531.200","13.452.820.213.621.300","Private room",51,1,192,"25/09/16",0.16,1,346
"1060","16142563","13669155","Tatiana","Friedrichshain-Kreuzberg","Frankfurter Allee Nord","52.518.921.121.095.200","13.465.003.189.408.900","Entire home/apt",40,3,108,"17/04/17",0.46,1,0
"1061","9197247","43288032","Ana","Friedrichshain-Kreuzberg","Frankfurter Allee Nord","5.251.689.884.121.440","13.463.943.964.910.500","Private room",32,2,48,"16/04/17",0.78,1,53
"1062","6248042","32442884","Alina","Friedrichshain-Kreuzberg","Frankfurter Allee Nord","52.518.574.739.701.800","13.470.558.533.635.600","Private room",30,3,244,"24/04/17",3.99,1,65
"1063","12603423","59378561","Irina","Friedrichshain-Kreuzberg","Frankfurter Allee Nord","5.251.743.676.292.460","13.455.132.706.734.500","Private room",45,14,214,"11/09/16",0.63,1,59
"1064","17715191","10894156","Fine","Friedrichshain-Kreuzberg","Frankfurter Allee Nord","5.252.395.251.516.440","13.453.169.809.945.400","Private room",32,1,181,"22/04/17",3.16,1,140
"1065","1265542","4065526","Heliodor Apartments","Friedrichshain-Kreuzberg","Frankfurter Allee Nord","52.524.940.884.720.800","13.452.614.049.748.100","Entire home/apt",120,1,112,"05/05/17",4.39,4,249
"1066","2445234","12502211","Suzana","Friedrichshain-Kreuzberg","Frankfurter Allee Nord","5.251.676.760.753.650","13.461.443.017.263.100","Entire home/apt",60,3,108,"30/04/17",0.41,1,274
"1067","18304908","45453008","Mira","Friedrichshain-Kreuzberg","Frankfurter Allee Nord","5.252.213.270.980.720","13.452.369.947.400.000","Private room",40,2,3,"30/04/17",1,1,350
"1068","6771876","35067955","Julia","Friedrichshain-Kreuzberg","Frankfurter Allee Nord","5.251.409.969.248.930","13.470.423.643.472.000","Entire home/apt",95,2,236,"04/10/15",0.4,1,0
"1069","9852022","40604988","Alexander","Friedrichshain-Kreuzberg","Frankfurter Allee Nord","52.516.514.986.378.900","13.470.457.431.901.900","Entire home/apt",99,3,100,"27/02/17",1.37,2,362
"1070","4346575","21317007","Benoit","Friedrichshain-Kreuzberg","Frankfurter Allee Nord","5.251.641.316.650.040","13.474.510.873.037.700","Private room",110,60,236,"15/11/16",0.55,1,365
"1071","10505730","7999965","Ebru","Friedrichshain-Kreuzberg","Frankfurter Allee Nord","5.252.631.940.979.330","1.345.116.824.769.520","Private room",13,4,160,"22/09/16",0.19,1,1
"1072","18369894","404708","Stefan","Friedrichshain-Kreuzberg","Frankfurter Allee Nord","5.251.989.084.542.110","13.465.774.717.247.500","Entire home/apt",65,2,2,"",NA,1,33
"1073","16714590","31210345","Grit","Friedrichshain-Kreuzberg","Frankfurter Allee Nord","52.516.950.206.255.600","134.667.206.119.466","Entire home/apt",130,2,2,"",NA,1,20
"1074","7520721","39410823","Caspar","Friedrichshain-Kreuzberg","Frankfurter Allee Nord","52.515.002.176.446.800","13.459.797.779.856.500","Private room",30,1,231,"24/04/17",3.94,2,58
"1075","14349079","34905612","M<U+00F3>nica","Friedrichshain-Kreuzberg","Frankfurter Allee Nord","52.515.706.089.516.800","13.466.114.445.179.400","Private room",25,1,181,"21/09/16",0.47,1,357
"1076","145249","703493","Evelyna","Friedrichshain-Kreuzberg","Frankfurter Allee Nord","5.251.819.219.317.530","13.461.220.877.937.700","Private room",55,3,183,"24/04/17",0.71,1,25
"1077","2247595","2367272","Anna","Friedrichshain-Kreuzberg","Frankfurter Allee Nord","52.518.459.637.044.100","1.346.110.111.502.030","Private room",70,14,2,"",NA,1,358
"1078","18369356","127192384","Sabrina","Friedrichshain-Kreuzberg","Frankfurter Allee Nord","5.252.062.828.006.610","13.453.384.343.701.900","Private room",45,1,2,"",NA,1,3
"1079","14437126","49434740","Ellen","Friedrichshain-Kreuzberg","Frankfurter Allee Nord","5.251.739.784.218.730","13.466.898.994.051.800","Private room",23,2,225,"03/04/17",0.88,1,92
"1080","16140156","15477789","Nico","Friedrichshain-Kreuzberg","Frankfurter Allee Nord","52.515.616.943.843.200","13.464.320.202.867.400","Private room",34,3,108,"09/01/17",0.41,1,18
"1081","10897005","4218474","Jessica","Friedrichshain-Kreuzberg","Frankfurter Allee Nord","5.252.644.683.698.450","13.449.159.064.161.800","Private room",50,1,26,"01/05/17",0.83,1,322
"1082","4148292","21519776","Yael","Friedrichshain-Kreuzberg","Frankfurter Allee Nord","5.251.786.996.521.330","13.462.009.746.905.200","Private room",30,2,108,"20/08/15",0.06,1,87
"1083","8602896","28669810","Pia","Friedrichshain-Kreuzberg","Frankfurter Allee Nord","52.514.979.285.211.000","13.466.205.477.517.900","Private room",28,1,196,"25/04/17",2.76,9,1
"1084","9323756","28227104","Amanda","Friedrichshain-Kreuzberg","Frankfurter Allee Nord","5.251.893.377.891.450","13.462.285.803.846.300","Entire home/apt",55,3,236,"11/12/16",0.67,1,40
"1085","935026","5044501","Clara","Friedrichshain-Kreuzberg","Frankfurter Allee Nord","5.251.581.896.116.390","13.454.742.209.442.500","Entire home/apt",89,1,127,"29/04/17",4.5,1,199
"1086","9520198","34383750","Linda","Friedrichshain-Kreuzberg","Frankfurter Allee Nord","5.251.706.547.493.260","1.345.875.610.644.290","Private room",32,2,71,"27/11/16",1.06,1,0
"1087","10161183","52156670","Magali","Friedrichshain-Kreuzberg","Frankfurter Allee Nord","5.251.920.117.505.870","13.457.693.490.846.300","Private room",31,1,2,"",NA,1,0
"1088","6414757","7863993","Tal","Friedrichshain-Kreuzberg","Frankfurter Allee Nord","5.251.650.293.458.750","13.455.893.325.275.600","Private room",40,1,3,"16/05/16",0.08,4,0
"1089","16533781","70432978","Francisco","Friedrichshain-Kreuzberg","Frankfurter Allee Nord","5.252.279.007.968.450","13.453.316.531.257.300","Private room",37,1,160,"18/04/17",0.72,2,342
"1090","9128009","18029235","Niccolo","Friedrichshain-Kreuzberg","Frankfurter Allee Nord","5.252.044.063.333.210","13.454.177.466.639.100","Entire home/apt",60,7,181,"18/05/16",0.24,1,0
"1091","7686126","7976595","Bogdan","Friedrichshain-Kreuzberg","Frankfurter Allee Nord","5.251.364.884.475.650","1.347.444.319.058.770","Entire home/apt",50,1,181,"10/03/16",0.23,1,0
"1092","7686094","40141410","Melanie","Friedrichshain-Kreuzberg","Frankfurter Allee Nord","5.251.436.499.297.520","13.467.763.906.214.200","Entire home/apt",70,3,3,"21/08/15",0.05,1,0
"1093","4212655","17664897","Lena","Friedrichshain-Kreuzberg","Frankfurter Allee Nord","52.522.343.211.914.400","1.345.105.803.429.290","Private room",20,5,3,"19/02/17",0.38,1,285
"1094","17992690","2401126","Ramon","Friedrichshain-Kreuzberg","Frankfurter Allee Nord","52.524.427.498.538.600","1.344.977.050.865.590","Private room",32,2,160,"03/05/17",3,1,20
"1095","8864483","20754446","Yasan","Friedrichshain-Kreuzberg","Frankfurter Allee Nord","52.517.975.641.461.400","13.462.158.966.434.700","Entire home/apt",70,7,2,"",NA,1,0
"1096","606926","3006939","Yves","Friedrichshain-Kreuzberg","Frankfurter Allee Nord","5.252.114.367.801.970","13.454.405.921.421.400","Entire home/apt",70,3,172,"24/04/17",0.59,1,259
"1097","3162825","16044667","Peter & Swetlana","Friedrichshain-Kreuzberg","Frankfurter Allee Nord","5.252.424.880.707.810","13.451.823.477.690.000","Private room",35,2,71,"29/12/16",0.48,1,341
"1098","16466562","107919215","Alex","Friedrichshain-Kreuzberg","Frankfurter Allee Nord","525.218.389.830.386","13.452.142.344.052.800","Entire home/apt",65,1,139,"05/05/17",5.54,1,46
"1099","7400611","34006291","Trajan","Friedrichshain-Kreuzberg","Frankfurter Allee Nord","5.251.913.142.858.150","13.455.071.378.830.100","Entire home/apt",79,5,108,"19/08/16",0.1,1,0
"1100","1131123","6205603","Isabella","Friedrichshain-Kreuzberg","Frankfurter Allee Nord","5.252.163.572.957.210","13.452.916.815.248.200","Private room",30,3,2,"",NA,1,163
"1101","15024641","94533898","Tine","Friedrichshain-Kreuzberg","Frankfurter Allee Nord","5.251.975.619.036.500","1.345.369.886.931.380","Private room",61,2,225,"01/05/17",1.05,1,359
"1102","4382785","22754905","Gregor","Friedrichshain-Kreuzberg","Frankfurter Allee Nord","52.523.679.711.013.100","13.452.547.959.385.300","Private room",35,1,174,"01/05/17",3.03,1,362
"1103","17122755","115065886","Ingo","Friedrichshain-Kreuzberg","Frankfurter Allee Nord","5.252.188.538.066.000","13.454.821.646.662.500","Entire home/apt",65,3,203,"30/04/17",2.47,1,60
"1104","11814311","52145267","Angelina","Friedrichshain-Kreuzberg","Frankfurter Allee Nord","5.251.778.440.634.810","13.470.328.624.201.900","Private room",35,1,160,"24/04/16",0.22,1,0
"1105","11289945","17084553","Flavia","Friedrichshain-Kreuzberg","Frankfurter Allee Nord","52.524.742.676.306.700","13.453.115.600.898.000","Private room",35,2,158,"03/10/16",1.96,1,16
"1106","3887998","20111070","Marian","Friedrichshain-Kreuzberg","Frankfurter Allee Nord","5.251.608.575.783.800","1.346.044.703.309.220","Entire home/apt",45,2,160,"29/02/16",0.13,1,28
"1107","14630699","9614806","Stefan","Friedrichshain-Kreuzberg","Frankfurter Allee Nord","5.251.907.914.473.770","1.346.861.021.951.560","Entire home/apt",41,4,71,"18/04/17",2.06,1,70
"1108","6569548","1584766","Frank","Friedrichshain-Kreuzberg","Frankfurter Allee Nord","5.251.907.486.782.260","13.463.310.833.542.300","Entire home/apt",59,1,176,"01/11/16",1.62,4,346
"1109","8010977","14446539","Carina","Friedrichshain-Kreuzberg","Frankfurter Allee Nord","52.517.312.619.263.000","13.464.950.408.849.000","Entire home/apt",75,3,3,"12/09/15",0.05,1,0
"1110","3686668","18752672","Julia","Friedrichshain-Kreuzberg","Frankfurter Allee Nord","5.251.668.910.936.810","13.465.832.580.361.600","Entire home/apt",75,2,192,"31/07/16",0.15,1,7
"1111","9781239","50423467","Sarah","Friedrichshain-Kreuzberg","Frankfurter Allee Nord","525.216.107.063.945","13.450.870.306.567.100","Private room",25,2,108,"23/08/16",0.14,1,0
"1112","16793582","111615610","Martin","Friedrichshain-Kreuzberg","Frankfurter Allee Nord","52.519.529.359.804.000","13.463.767.241.787.200","Private room",39,3,2,"",NA,1,25
"1113","3162062","16039991","Yonatan","Friedrichshain-Kreuzberg","Frankfurter Allee Nord","5.251.982.140.322.620","13.458.815.229.716.100","Private room",26,3,192,"24/04/16",0.16,1,361
"1114","16594902","109457831","Hans","Friedrichshain-Kreuzberg","Frankfurter Allee Nord","52.521.078.656.148.200","13.454.923.623.230.700","Entire home/apt",60,3,225,"01/05/17",3.43,1,89
"1115","15021620","94818829","Katja","Friedrichshain-Kreuzberg","Frankfurter Allee Nord","52.519.477.356.896.600","1.346.543.973.381.460","Private room",45,5,236,"29/01/17",1.6,1,166
"1116","9385422","21391122","Mabel","Friedrichshain-Kreuzberg","Frankfurter Allee Nord","5.252.462.287.713.670","1.345.074.699.464.790","Private room",45,1,109,"12/03/17",1.42,1,360
"1117","8009094","42287185","Lucka","Friedrichshain-Kreuzberg","Frankfurter Allee Nord","5.252.461.208.798.020","134.523.200.998.558","Private room",25,1,2,"",NA,1,0
"1118","16792545","8461913","Yuval","Friedrichshain-Kreuzberg","Frankfurter Allee Nord","5.252.372.996.452.920","13.453.521.905.072.400","Entire home/apt",60,1,108,"07/02/17",0.53,1,0
"1119","11746083","16375118","Florence","Friedrichshain-Kreuzberg","Frankfurter Allee Nord","5.252.145.358.711.930","13.455.289.384.215.100","Entire home/apt",55,15,203,"31/08/16",0.45,2,238
"1120","18430510","127735072","Jakob","Friedrichshain-Kreuzberg","Frankfurter Allee Nord","5.251.744.137.947.970","13.459.105.658.140.800","Private room",40,5,2,"",NA,1,22
"1121","6501430","15857907","Linda","Friedrichshain-Kreuzberg","Frankfurter Allee Nord","52.517.112.548.652.200","13.459.208.456.629.600","Private room",30,1,108,"11/06/15",0.09,1,0
"1122","7844596","41337194","Christine","Friedrichshain-Kreuzberg","Frankfurter Allee Nord","525.259.969.273.438","13.451.519.111.179.700","Entire home/apt",80,10,3,"10/09/16",0.12,1,337
"1123","14561624","3506186","John","Friedrichshain-Kreuzberg","Frankfurter Allee Nord","5.251.794.975.976.480","13.458.389.424.978.600","Private room",49,3,203,"25/04/17",0.71,1,77
"1124","17379669","110930720","Lina","Friedrichshain-Kreuzberg","Frankfurter Allee Nord","5.252.030.465.907.680","13.452.972.279.709.000","Private room",35,1,160,"15/04/17",1.38,1,127
"1125","17838393","9495287","Martin","Friedrichshain-Kreuzberg","Frankfurter Allee Nord","5.251.623.461.035.650","13.473.917.661.193.700","Entire home/apt",80,4,108,"20/04/17",2,1,0
"1126","5585505","28669810","Pia","Friedrichshain-Kreuzberg","Frankfurter Allee Nord","5.251.461.004.639.070","13.464.969.826.670.300","Private room",25,1,241,"01/04/17",4.81,9,114
"1127","7747403","1352296","Pierre","Friedrichshain-Kreuzberg","Frankfurter Allee Nord","5.252.560.133.554.150","13.452.008.589.886.800","Private room",25,1,3,"24/08/15",0.05,2,0
"1128","17708823","120689657","Hakan","Friedrichshain-Kreuzberg","Frankfurter Allee Nord","52.522.843.682.161.600","13.452.474.617.382.600","Entire home/apt",60,2,181,"23/04/17",2.73,1,71
"1129","14563032","3523133","Oliver","Friedrichshain-Kreuzberg","Frankfurter Allee Nord","5.251.793.886.888.740","13.454.077.850.286.000","Entire home/apt",80,2,192,"27/09/16",0.62,1,7
"1130","669277","273961","Hulda","Friedrichshain-Kreuzberg","Frankfurter Allee Nord","52.523.883.220.884.900","13.449.848.688.151.300","Entire home/apt",60,1,26,"31/08/16",0.31,2,0
"1131","1259092","6856699","Micha","Friedrichshain-Kreuzberg","Frankfurter Allee Nord","52.525.037.615.467.000","13.452.160.205.326.900","Entire home/apt",50,3,150,"19/03/17",0.7,1,144
"1132","8270083","10191421","Simone","Friedrichshain-Kreuzberg","Frankfurter Allee Nord","52.517.115.767.275.600","1.346.158.283.242.850","Entire home/apt",50,2,108,"03/01/17",0.1,1,0
"1133","17969046","118029206","Jamie","Friedrichshain-Kreuzberg","Frankfurter Allee Nord","52.516.557.133.555.100","1.346.025.598.302.920","Private room",22,1,3,"09/04/17",1,1,0
"1134","15347544","11090059","Anna","Friedrichshain-Kreuzberg","Frankfurter Allee Nord","5.251.725.604.133.250","13.459.465.709.766.400","Private room",100,2,2,"",NA,4,0
"1135","8010486","30011180","Olga","Friedrichshain-Kreuzberg","Frankfurter Allee Nord","5.251.634.030.039.440","13.459.998.454.908.700","Entire home/apt",80,2,2,"",NA,2,87
"1136","12139218","65167902","Jennifer","Friedrichshain-Kreuzberg","Frankfurter Allee Nord","525.156.308.681.126","1.345.416.016.736.980","Private room",50,2,15,"30/04/17",1.11,1,53
"1137","9123008","22800975","Ki","Friedrichshain-Kreuzberg","Frankfurter Allee Nord","5.252.378.990.605.090","13.452.225.695.275.200","Private room",39,1,2,"",NA,1,0
"1138","17773505","29382611","Helene","Friedrichshain-Kreuzberg","Frankfurter Allee Nord","5.251.381.388.065.050","13.473.153.164.828.400","Entire home/apt",50,2,3,"18/04/17",0.75,1,0
"1139","13775617","1324538","Marcelo","Friedrichshain-Kreuzberg","Frankfurter Allee Nord","525.241.491.443.662","13.452.332.575.930.800","Private room",38,3,139,"23/04/17",2.79,1,322
"1140","6827654","22521356","Daniel","Friedrichshain-Kreuzberg","Frankfurter Allee Nord","525.237.527.398.307","13.449.758.987.208.600","Private room",25,3,124,"16/04/17",0.97,1,7
"1141","1256642","4997977","Jan","Friedrichshain-Kreuzberg","Frankfurter Allee Nord","52.515.663.389.610.100","13.462.771.542.254.300","Private room",56,1,48,"13/09/16",0.31,1,311
"1142","10759187","38095225","Finn","Friedrichshain-Kreuzberg","Frankfurter Allee Nord","52.518.403.102.150.300","13.472.218.957.138.200","Private room",55,2,203,"30/04/17",0.41,1,351
"1143","18101326","24334291","M. Clarissa","Friedrichshain-Kreuzberg","Frankfurter Allee Nord","5.251.987.363.009.580","13.452.152.081.127.200","Entire home/apt",55,1,2,"",NA,1,0
"1144","13382705","76071879","Mitshu","Friedrichshain-Kreuzberg","Frankfurter Allee Nord","5.251.889.107.960.410","13.465.323.917.296.900","Entire home/apt",50,60,59,"29/10/16",1.37,1,0
"1145","9906684","2293972","Philipp","Friedrichshain-Kreuzberg","Frankfurter Allee Nord","5.251.761.764.558.350","13.467.331.241.814.700","Private room",39,1,195,"22/04/17",3.17,18,321
"1146","6629757","9063962","Janine","Friedrichshain-Kreuzberg","Frankfurter Allee Nord","5.251.735.361.609.370","13.455.236.526.376.600","Entire home/apt",85,3,108,"29/07/16",0.1,1,0
"1147","16068043","16496827","Shy","Friedrichshain-Kreuzberg","Frankfurter Allee Nord","5.251.666.738.829.660","13.457.508.022.589.500","Private room",38,1,2,"",NA,1,0
"1148","17507449","17552126","Paul","Friedrichshain-Kreuzberg","Frankfurter Allee Nord","52.520.574.316.694.300","13.454.495.043.341.500","Private room",30,2,225,"01/05/17",4.44,1,99
"1149","7676597","31358510","Marco","Friedrichshain-Kreuzberg","Frankfurter Allee Nord","5.251.965.415.069.490","13.458.122.469.243.500","Entire home/apt",65,5,3,"27/08/16",0.12,1,21
"1150","12003443","2210962","Roman","Friedrichshain-Kreuzberg","Frankfurter Allee Nord","525.191.300.420.288","13.464.462.109.857.300","Private room",49,30,2,"",NA,1,42
